from,to
Hit,Vfb
Hit,Ard
Hit,Bay
Hit,Nwl
Hit,Dfb
Sch,Vfb
Sch,Clu
Kel,Vfb
Vog,Vfb
Vog,Int
Vog,Fcp
Por,Vfb
Por,Dai
Adr,Vfb
Adr,Dfb
Jen,Vfb
Jen,Kae
Jen,Alf
Rai,Vfb
Rai,Dam
Sug,Vfb
Sug,Bos
Vfb,Dfb
Vfb,Dai
Ard,Vfb
Bay,Vfb
Nwl,Dfb
Clu,Vfb
Int,Fcp
Fcp,Vfb
Dai,Dam
Dfb,Ard
Kae,Alf
Alf,Vfb
Dam,Vfb
Bos,Vfb
